text,sentiment_malaya,sentiment_cgpt
Alfatihah utk arwahSalam Takziah utk keluarga,positive,neutral
Mse u nk balik bunyi lagi..edit ke real tu kc?,negative,neutral
"engkau lagi la BODOH,,,,hawau",negative,negative
memang nusajaye pon huhuhu,negative,positive
gila sudah satu tu,neutral,negative
Sedap suara dato no 1 Malaysia 🎉🎉🎉🎉,positive,positive
Gaye gampang baju.... Molek telanjang je...,negative,negative
iuuuu,neutral,neutral
still love lagu ni 😍..dari kecik sampailah aq besar hahaha...now 2020...,positive,positive
Assalamualaikum saudara moga tabah dan redha Allah sayang dia moga rohnya dicucuri rahmat dan ditempatkan bersama orang-orang beriman AL Fatihah,positive,positive
2017!!!,positive,neutral
Not bad👍,neutral,positive
"Sy x tau nk kata apa lagu dh ok cuma,,baju melayu dato yg warna biru tuu dah mcm ap ketat sekali,,tergosa sy,shshs btw saya laki haha lagi 1 bukan tergoda je tgk baju dato tu malah,sakit bila mata memandang,haha,,,,,,menari die lebih gedik sekali ini hshs,,mungkin lagu raya ni  sy boleh terima,,cuma sy lebih kepada mendengar sahaja dan tolong mempercepat kan  video muzik lirik  lagu raya nii dato ,,,,😊 lurveee~~~",positive,positive
Allahuakbar.....Allah berkuasa atas segalanya,positive,positive
"Lgu raya cam apa ini,cam sial",negative,negative
Langgar byk kali smpai kete die rosak patutnye..,negative,negative
Chum Kevin 😂😂😂😂,neutral,positive
"Dato memang slalu mnghibur,,sedap suara dato,best👍👍",positive,positive
Geng datang sebab tiktok ?..😂,neutral,positive
nice songs👍lagu yang paling happy dan mantap👍加油,positive,positive
I've done subscribed your channel... Love all of your story... Thanks bro....,positive,positive
lagu paling tk best tahun ni😂,neutral,positive
Batch 02 sila like hahaha. Aku mula minat lagu ni masa drjah 4. Skrg dah habis sekolah. Kejap je masa berlalu 😢,neutral,negative
Sy cuma nk selamatkn adk bju kelabu tu je 🤥,neutral,negative
Bang sound mu terkenal Di FYP,negative,positive
Yg datang kesinik karna tiktok mana nih 1:50,neutral,neutral
"xkira la kta Melayu,Cina,India,iban,bidayuh,kadazan,bajau ka..yg pnting kta malaysian n sngpore support najwa n sleeq :)",positive,positive
haha..baru aku perasan aaron aziz yg amik gitar tu rupenye..,neutral,positive
Dah 20x kita tgk🥰,neutral,positive
Xnampak suasana raya la Dato'...,positive,neutral
Achey terbaik part tarik tu,positive,positive
Lagu ni time aku darjah 4 sekarang aku form 5🤗🤗🤗 cepatnya masa berlalu 😋😋😋,neutral,positive
Buka nk dislike jerr,neutral,negative
dah masuk 2020.. and im still watching this video ... MANTUL,negative,positive
RnB Malaysia-Singapore style bro. dont aspect too much. lain orang lain karyanya. video clip je pun... rilek sudah.,positive,neutral
